Source	GeneSetID	GeneSetName	GeneList	n_Genes	LLM Name	LLM Analysis	Score
NeST	Cluster_PKM_3	Cluster_PKM_3	ACTB ACTN1 ARPC1B ARPC2 ARPC4 CAPG CD151 CD44 CFL1 ITGB5 MMP PLOD2 S100A10 S100A4 TGFB1 TIMP1 VASP VIM	18	Extracellular Matrix Remodeling and Migration	The system includes multiple integrins (*ITGB5*, *CD44*, *CD151*), ECM-modifying enzymes (*PLOD2*, *TIMP1*, *MMPs* indirectly via regulators like *TGFB1*), and cytoskeletal components (*VIM*, *ACTB*, *ACTN1*, *ARPC1B*, *ARPC2*, *ARPC4*, *CFL1*, *CAPG*). These genes support **cell adhesion dynamics, invasion, and motility**, which are often upregulated under hypoxia or during metastasis. *S100A4*, *S100A10*, and *VASP* contribute to lamellipodia and stress fiber formation.	0.79
NeST	Cluster_PKM_4	Cluster_PKM_4	ATP6V0C ATP6V1A NSF RAB7A STX1A VPS33B	6	Vesicular and Membrane Trafficking	Genes like *STX1A*, *NSF*, *ATP6V1A/B2*, *ATP6V0C*, *RAB7A*, and *VPS33B/18* regulate **endosome trafficking, acidification, and exocytosis**, crucial for receptor recycling, ECM component turnover, and autophagy under stress. These processes complement metabolic shifts by reallocating cellular resources and maintaining proteostasis.	0.79
NeST	Cluster_PKM_5	Cluster_PKM_5	COX5A COX6B1 ETFA GLS GPX4 MICU1 MRPS6 NQO1 UQCRC1	9	Mitochondrial Function and ROS Homeostasis	While glycolysis is enhanced, mitochondrial support genes like *UQCRC1*, *COX5A*, *COX6B1*, *MRPS6/34*, *GLS*, *ETFA*, and *MICU1* indicate **ongoing mitochondrial activity and redox regulation**. *GPX4* and *NQO1* help prevent oxidative stress, a frequent consequence of hypoxia and altered metabolism.	0.79
NeST	Cluster_PKM_6	Cluster_PKM_6	ARNTL2 BHLHE40 EHMT2 HDAC1 LEO1 MEF2A NONO NRD1 RBPJ SIN3A SLTM SMAD3	12	Transcriptional and Epigenetic Regulation	Numerous transcriptional regulators (*SMAD3*, *MEF2A*, *RBPJ*, *ARNTL2*, *HDAC1*, *SIN3A*, *NRD1*, *NONO*, *SLTM*) coordinate the expression of hypoxia-responsive, metabolic, and cytoskeletal genes. *BHLHE40*, induced by hypoxia, participates in circadian and stress-adaptive gene programs. Chromatin remodelers (*EHMT2*, *LEO1*) fine-tune gene expression patterns under shifting environmental conditions.	0.79
NeST	Cluster_AKAP8_1	Cluster_AKAP8_1	CRY2 NR1D1 PER2 PER3	4	Circadian Control of Metabolic Regulation	This system includes multiple components of the circadian clock (*PER2, PER3, CRY2, NR1D1*), which regulate daily oscillations of gene expression in metabolic tissues. These transcriptional regulators control the rhythmic expression of key metabolic enzymes and transporters, thereby orchestrating the timing of energy storage, mobilization, and hormonal signaling across the light-dark cycle. Their co-presence with nutrient transporters and signaling proteins suggests functional integration in time-dependent metabolic homeostasis.	0.74
NeST	Cluster_AKAP8_2	Cluster_AKAP8_2	ADCY5 INSR SLC2A4	3	Insulin Signaling and Glucose Transport	Key metabolic effectors such as *INSR* (insulin receptor), *SLC2A4* (GLUT4), and *ADCY5* (adenylate cyclase 5) are central to insulin-stimulated glucose uptake in skeletal muscle and adipose tissue. *SLC2A4* translocates to the membrane in response to insulin signaling via *INSR*, facilitating glucose entry into cells. *ADCY5* contributes to cAMP-mediated modulation of insulin secretion and signaling. These proteins form a coordinated module that transduces insulin signals to regulate glucose utilization, strongly linking this system to energy metabolism.	0.74
NeST	Cluster_AKAP8_3	Cluster_AKAP8_3	COQ10A DAGLA DGKD FAAH SREBF1	5	Fatty Acid and Lipid Homeostasis	Genes like *FAAH* (fatty acid amide hydrolase), *DAGLA* (diacylglycerol lipase alpha), *DGKD* (diacylglycerol kinase delta), *SREBF1* (a transcriptional regulator of lipid biosynthesis), and *COQ10A* (coenzyme Q10 biosynthesis) contribute to lipid signaling and storage. Their integration suggests the system supports lipid flux coordination, particularly in metabolically active tissues where insulin and circadian signals converge.	0.74
NeST	Cluster_AKAP8_4	Cluster_AKAP8_4	CKMT2 L2HGDH SLC22A5 SLC45A3 SLC46A1	5	Metabolite Transport and Mitochondrial Function	Solute carrier proteins (*SLC22A5, SLC45A3, SLC46A1*) and enzymes like *L2HGDH* and *CKMT2* indicate participation in mitochondrial metabolism and organic solute transport. These molecules sustain energy production by managing the import and export of critical cofactors, such as carnitine (*SLC22A5*), which is essential for fatty acid β-oxidation. *CKMT2* couples ATP production to energy-demanding processes in tissues like heart and muscle.	0.74
NeST	Cluster_AKAP8_5	Cluster_AKAP8_5	DEPTOR GGA3 HOOK2 PITPNM2	4	Signal Integration and Vesicle Trafficking	*DEPTOR*, a regulator of mTOR signaling, functions as a metabolic rheostat under nutrient availability and insulin conditions. Trafficking proteins like *HOOK2, GGA3*, and *PITPNM2* contribute to endosomal sorting and membrane dynamics, processes essential for glucose transporter recycling and hormonal signal propagation. These components ensure that signaling and nutrient uptake are tightly coupled with membrane trafficking pathways.	0.74
NeST	Cluster_AKAP8_6	Cluster_AKAP8_6	AMIGO1 JAG1 LRP5 PLEKHA7	4	Developmental and Structural Modulators	Proteins like *JAG1* (a Notch ligand) and *LRP5* (a Wnt co-receptor involved in metabolic tissue homeostasis) suggest developmental regulation of metabolic tissue architecture and function. *AMIGO1* and *PLEKHA7* also influence cellular structure and junctional stability, potentially affecting tissue responsiveness to hormonal and circadian cues.	0.74
NeST	Cluster_PAX5_1	Cluster_PAX5_1	CD79A CD80 IGHM IGHV IGKV IGLJ IGLV LAT LAT2 LCK MS4A1 PDCD1 TRAV19 TRBV20OR9	14	Lymphocyte Activation and Differentiation	Multiple immunoglobulin variable genes (e.g., *IGHV*, *IGLV*, *IGKV*, *IGLJ*, *IGHM*) are represented, indicating a system centered on **B-cell receptor diversification and clonal selection**. Accompanying these are genes like *CD79A* and *MS4A1* (CD20), which are critical for B-cell receptor (BCR) signaling and maturation. *T-cell signaling* is also prominently featured, as indicated by *CD80*, *LAT*, *LAT2*, *LCK*, *TRAV19*, *TRBV20OR9-2*, and *PDCD1*. These genes mediate TCR signal transduction, co-stimulation, and T-cell exhaustion or tolerance. The co-presence of both B-cell and T-cell lineage-specific components suggests this system supports **bidirectional crosstalk and co-regulation between adaptive immune arms**.	0.78
NeST	Cluster_PAX5_2	Cluster_PAX5_2	CCL22 CCR5 CXCR5 IFNA2 IL10RA IL21R IL32 IRF4 SKIL SPIB TNF	11	Cytokine and Chemokine Response Modulation	Genes such as *IL10RA*, *IL21R*, *IFNA2*, *TNF*, *IL32*, *CCL22*, *CCR5*, and *CXCR5* encode cytokines, receptors, or chemokines directly involved in immune cell recruitment, proliferation, or polarization. Their concerted expression indicates **a regulatory network governing cytokine-mediated responses**, including Th1/Th2 skewing, inflammation, and immune cell trafficking. This is complemented by transcriptional regulators such as *IRF4*, *SPIB*, and *SKIL*, which shape the expression of cytokine receptors and immunoregulatory genes.	0.78
NeST	Cluster_PAX5_3	Cluster_PAX5_3	CARD11 DYRK1B GNLY NKG7 PIK3R5 RASGRP2 TRIM61	7	Signal Transduction and Effector Function	Downstream signaling components such as *CARD11*, *PIK3R5*, *RASGRP2*, *DYRK1B*, and *TRIM61* integrate antigen receptor stimulation into transcriptional programs. These effectors interface with the NF-κB and MAPK pathways, promoting immune cell activation, proliferation, and survival. Effector molecules such as *GNLY* (granulysin) and *NKG7* highlight the cytotoxic arm of lymphocyte function, suggesting that this network extends into **cell-mediated cytotoxicity**.	0.78
NeST	Cluster_PAX5_4	Cluster_PAX5_4	H19 IFNG JARID2 MIR142 MIR17HG MIR3916 RAD51 SNORA1 SNORA73	9	Non-coding RNAs and Regulatory Elements	Several long non-coding RNAs (e.g., *MIR17HG*, *IFNG-AS1*, *H19*, *RAD51-AS1*, *JARID2-AS1*) and small RNAs (*MIR142*, *MIR3916*, *SNORA1*, *SNORA73*) are known to regulate transcriptional activity, splicing, and translation in immune contexts. For example, *MIR17HG* and *IFNG-AS1* are involved in **T-cell polarization and cytokine regulation**. Y\_RNAs and RN7SK pseudogenes suggest modulation of RNA stability and chromatin remodeling, potentially linking transcriptional burst control to immune activation.	0.78
NeST	Cluster_PAX5_5	Cluster_PAX5_5	HLA TICAM2 TLR9 ZBP1	4	Additional Contextual Elements	Other associated genes (*ZBP1*, *TICAM2*, *TLR9*) point toward **innate immune sensors and signaling pathways**, suggesting this system may serve as a bridge between **innate and adaptive immunity**. Furthermore, the presence of MHC-related genes such as *HLA-DRB1* and *HLA-DQB1-AS1* supports antigen processing and presentation, a key function at the interface of innate sensing and adaptive activation.	0.78
